*,folio,nr,articles,Noms locaux,ares,cent,prix proportionnels par are de la commission cadastrale,use,owner,ville,pays,adresse_complete,type_simplifie,lat,lon
6,1.0,6.0,,Rue Madeleine,,,,"Maison d'habitation, café, magasin","Chauvy, François Louis Henri dit Frédéric feu Jean Louis",Lausanne,Switzerland,"Rue Madeleine, Lausanne, Switzerland",Café,46.5224072,6.6329933
8,1.0,8.0,,Rue Madeleine,,,,"Maison d'habitation, pinte","Mouron, Jean Louis Etienne feu Jean David Louis",Lausanne,Switzerland,"Rue Madeleine, Lausanne, Switzerland",Pinte,46.5224072,6.6329933
37,1.0,39.0,,Place de la Palud,,,,"Maison d'habitation, hôtel","Hausermann, Jean feu Jean",Lausanne,Switzerland,"Place de la Palud, Lausanne, Switzerland",Hôtel,46.5219895,6.6329408
40,1.0,42.0,,Place de la Palud,,,,"Maison d'habitation, café","Seever, Marie Louise feu Benjamin Louis Gonthier, veuve de Gustave Charles",Lausanne,Switzerland,"Place de la Palud, Lausanne, Switzerland",Café,46.5219895,6.6329408
71,1.0,73.0,,Rue des Escaliers du Marché,,,,"Maison d'habitation, café","Clerici, les enfants de feu Gaëtan Matthieu (Jeanne Marie, femme de Ernest Joseph Möhr; Stéphanie)",Lausanne,Switzerland,"Rue des Escaliers du Marché, Lausanne, Switzerland",Café,,
148,1.0,149.0,,Rue de la Mercerie,,,,"Maison d'habitation, café","Blanc, Théodore fils de Jean Louis",Lausanne,Switzerland,"Rue de la Mercerie, Lausanne, Switzerland",Café,,
151,1.0,152.0,,Rue de la Mercerie,,,,"Maison d'habitation, café","Girardet, les enfants de feu Gabriel (Adèle; Jules Ernest; Emile Alfred)",Lausanne,Switzerland,"Rue de la Mercerie, Lausanne, Switzerland",Café,,
177,1.0,178.0,,Rue St-Etienne,,,,"Maison d'habitation, café","Favre, Louis Frédéric feu Louis Henri",Lausanne,Switzerland,"Rue St-Etienne, Lausanne, Switzerland",Café,46.5219957,6.6351327
231,2.0,2.0,,Rue de la Louve,,,,"Maison d'habitation, café","Trépey, Paul Louis dit Jules feu François Louis",Lausanne,Switzerland,"Rue de la Louve, Lausanne, Switzerland",Café,46.5218697,6.6319381
233,2.0,4.0,,Rue de la Louve,,,,Salle vitrée,"Trépey, Paul Louis dit Jules feu François Louis",Lausanne,Switzerland,"Rue de la Louve, Lausanne, Switzerland",Autre,46.5218697,6.6319381
238,2.0,8.0,,Place de la Palud,,,,"Maison d'habitation, magasin, café",Cercle Industriel lausannois,Lausanne,Switzerland,"Place de la Palud, Lausanne, Switzerland",Café,46.5219895,6.6329408
241,2.0,11.0,,Rue de la Louve,,,,"Magasins, caves, salle, terrasse",Cercle Industriel lausannois,Lausanne,Switzerland,"Rue de la Louve, Lausanne, Switzerland",Autre,46.5218697,6.6319381
246,2.0,16.0,,Place de la Palud,,,,"Maison d'habitation, hôtel, café","Noverraz, Louis Samuel Antoine feu Jean François Samuel; Noverraz, Jaques Paul feu Jean François Samuel",Lausanne,Switzerland,"Place de la Palud, Lausanne, Switzerland",Hôtel,46.5219895,6.6329408
298,2.0,66.0,,Rue du Pont,,,,"Maison d'habitation, café","Enning, Louis Philippe Isaac Victor feu Louis Samuel Isaac",Lausanne,Switzerland,"Rue du Pont, Lausanne, Switzerland",Café,46.5212745,6.6333323
302,2.0,69.0,,Rue du Pont,,,,"Maison d'habitation, magasin, pinte, cave voûtée","Luginbuhl, Georges Henri feu Abraham Antoine",Lausanne,Switzerland,"Rue du Pont, Lausanne, Switzerland",Pinte,46.5212745,6.6333323
305,2.0,72.0,,Rue du Petit St-Jean,,,,"Maison d'habitation, magasin, café","Grandjean, Jean Benoit feu Pierre Ferdinand",Lausanne,Switzerland,"Rue du Petit St-Jean, Lausanne, Switzerland",Café,46.5211232,6.6328671
311,2.0,78.0,,Rue du Petit St-Jean,,,,"Maison d'habitation, hôtel (logements)","Bugnion, les enfants de feu Jean François (Elise Eugénie, femme de Gaudance Ambroise Joseph Michel Termignone; Marie Julie, femme de Jean Frédéric Dind; Fanny Charlotte Marie)",Lausanne,Switzerland,"Rue du Petit St-Jean, Lausanne, Switzerland",Hôtel,46.5211232,6.6328671
312,2.0,79.0,,Place de Pépinet,,,,"Logements, café","Lausanne, la commune de",Lausanne,Switzerland,"Place de Pépinet, Lausanne, Switzerland",Café,46.5210532,6.6324476
319,2.0,87.0,,Rue de la Louve,,,,Hôtel du Léman,"Joss, Jean Christian feu Christian",Lausanne,Switzerland,"Rue de la Louve, Lausanne, Switzerland",Hôtel,46.5218697,6.6319381
320,2.0,88.0,,Place de la Louve,,,,"Maison d'habitation, café","Michoud, les enfants de feu Marc Louis François(Louis Henri Marc; Louise Marie)",Lausanne,Switzerland,"Place de la Louve, Lausanne, Switzerland",Café,46.5216509,6.6323861
334,2.0,100.0,,Rue St-Laurent,,,,"Maison d'habitation, hôtel","Burnier, Jean Christian feu Pierre François",Lausanne,Switzerland,"Rue St-Laurent, Lausanne, Switzerland",Hôtel,46.5228777,6.6299758
354,2.0,120.0,,Rue St-Laurent,,,,"Maison d'habitation, pinte, chambre à lessive","Meyer, Rose Madelaine feu Samuel",Lausanne,Switzerland,"Rue St-Laurent, Lausanne, Switzerland",Pinte,46.5228777,6.6299758
386,2.0,150.0,,Rue du Grand St-Jean,,,,"Maison d'habitation, café","Groux, Elise feu François Louis Chaubert, femme de Edouard François",Lausanne,Switzerland,"Rue du Grand St-Jean, Lausanne, Switzerland",Café,46.5213634,6.6315616
423,2.0,187.1,,Ruelle du Grand Pont,,,,"Café, bains","Odot, François Henri feu Abram",Lausanne,Switzerland,"Ruelle du Grand Pont, Lausanne, Switzerland",Café,46.5207226,6.6310846
