usage_atomique,occurrences
place,2236
maison d'habitation,1762
pré,1238
jardin,1212
champ,959
bois,693
vigne,566
bûcher,559
logement,529
écurie,468
magasin,444
remise,404
grange,364
chambre à lessive,354
fenil,199
atelier,192
etable à porcs,190
terrasse,179
ecurie,172
latrines,168
réduit,158
hangar,132
pavillon,130
poulailler,123
couvert,120
serre,118
café,116
chemin,90
pressoir,87
cabinet de vigne,78
place (chemin),76
couvert de fontaine,74
cave,74
chambre,73
véranda,66
étable à porcs,62
logements,56
magasins,51
four,45
galerie,41
terrasse (jardin),36
rucher,36
boulangerie,34
voie ferrée (place),30
bureau,28
jardin (terrasse),27
caves,22
terrasse (place),21
cour,21
place (terrasse),21
terrasse dessus,20
cuisine,20
place (cour),20
pré (terrasse),20
couvert de puits,18
cabinet,17
dépôt,17
forge,17
étendage,15
balcon,15
pinte,14
boucherie,14
grenier,11
glacière,11
manège,11
pré (talus),11
guérite,11
pré (parc),11
volière,10
hôtel,9
imprimerie,9
bureaux,9
salle,9
bains,9
collège,9
caveau,8
séchoir,8
bosquets,8
orangerie,8
cimetière (place),8
talus,8
1216,8
3295,8
2802,8
les autres parts sont portées sous art. 2999,8
escalier,7
pharmacie,7
ateliers,7
sellerie,7
vestibule,7
gare,7
chambres,6
escaliers,6
temple,6
buanderie,6
bûchers,6
passage,6
distillerie,6
porcherie,6
cuisines,6
1181,6
2945,6
2608,6
2920,6
2554,6
le sol est porté sous article 2003,6
3284,6
corridor,5
entrepôt,5
cheminée,5
atelier de charpentier,5
laboratoire,5
terrasse (pré),5
chemin (place),5
0210 en totalité,5
marquise,5
voie ferrée,5
tour,5
etables à porcs,5
3480,5
place sur laquelle est construit un bâtiment porté sous art. 1523,5
soit chemin indivis de 4a.56 en totalité,5
1/4 indéterminé d'un four de 0a.24 en totalité,5
dépôt de marchandises,4
chapelle,4
ecole,4
puits,4
maison,4
scierie,4
place sur laquelle est construit un bâtiment porté sous article 731,4
1566,4
483,4
3440,4
1/6 indéterminé d'une place indivise de 0,4
les autres parts sont sous articles 1050,4
etendage,4
brasserie,4
salle de gymnastique,4
logement du portier,4
chambre à resserrer,4
1661,4
les autres parts sont portées sous art. 503,4
114,4
2509,4
571,4
les autres parts sont sous art. 2569,4
atelier de menuiserie,4
1/4 indéterminé d'une vigne soit chemin de 6a.80c en totalité,4
jardin (pépinière),4
magasin sur domaine public,3
cave soit terrasse dessus,3
laiterie,3
gymnastique,3
salle d'école,3
galeries,3
péristyle,3
école,3
machine à vapeur,3
magasin à bois,3
poste de police,3
entrée couverte,3
atelier de serrurier,3
cave avec terrasse dessus,3
chambre à lessive et à repasser,3
serre chaude,3
basse-cour,3
place (avenue),3
galerie vitrée,3
atelier de photographie,3
place (rue),3
1425,3
triperie,3
fabrique de chocolat,3
place sur laquelle est construit un bâtiment porté sous art. 1862,3
chambre à bains,3
1/3 indéterminé d'une place indivise de 4a.62 en totalité,3
1/3 indétermine d'une place indivise de 0a.27 en totalité,3
galetas,3
bosquet,3
place (réservoir),3
2233,3
1660,3
les autres parts sont portées sous art. 501,3
jardin (parc),3
chenil,3
pigeonnier,3
les autres parts sont sous art. 2935,3
place sur laquelle est construit un bâtiment porté sous art. 1525,3
place sur laquelle est construit un bâtiment porté sous art. 3861,3
remise de la pompe à feu,3
écuries,3
1/3 indéterminé d'un couvert de fontaine de 0a.16c en totalité,3
2506,3
pont de grange,3
632,3
3368,3
les autres parts sont portées sous art. 3262,3
place (rocher),3
corps d'échaudoir,3
réservoir,3
pré (place d'armes),3
moulin,3
tuilerie,3
l'autre part est portée sous art. 1492,3
l'autre part est portée sous art. 3490,3
1/3 indéterminé d'une place soit chemin indivis de 13a.11c en totalité,3
1/3 indéterminé d'un bâtiment indivis ayant logement,3
de 1a.41 en totalité,3
1304,3
185,3
1/3 indéterminé d'une place indivise de 0a.51 en totalité,3
1/3 indéterminé d'une place indivise de 0a.24 en totalité,3
le 1/3 indéterminé d'une place indivise de 0a.81c en totalité,3
machine à battre,3
1/4 indéterminé d'une place indivise de 0a.08 en totalité,3
1/3 de four de 0a.33 en totalité,3
prison,2
salle vitrée,2
cuisine (terrasse dessus),2
bureaux d'administration,2
cave voûtée,2
1/2 indéterminée d'une place indivise de 0.32 en totalité,2
fumoir,2
place 1/2 indéterminée d'une place indivise de 0.28.c en totalité,2
fabrique d'eaux gazeuses,2
réduits,2
1/2 indéterminée de latrines de 0a.08 en totalité,2
1/2 indéterminée d'une place indivise de 0.a94c en totalité,2
entrée de cave,2
1/2 indéterminée d'une place indivise de 0.64c en totalité,2
1/2 indéterminée d'une place indivise de 0.54c en totalité,2
magasin d'équipements,2
atelier de charron,2
fours,2
place soit canal,2
huilerie,2
1/2 indéterminée d'une place indivise de 2a.64c en totalité,2
moulins,2
passage couvert,2
réfectoire,2
place 1/2 indéterminée d'une place indivise de0.24 en totalité,2
hangar à bois,2
couvert (impériali),2
escalier couvert,2
avenue,2
place 1/2 indéterminée d'une place indivise de 0.18 en totalité,2
salle de billard,2
place sur laquelle est construit un bâtiment porté sous article 729,2
1/2 indéterminé d'un escalier indivis de 0a.14e en totalité,2
1/2 indéterminé d'une place indivise de 0.06 en totalité,2
abattoir,2
logement soit terrasse dessus,2
3696,2
2me,2
place sur laquelle est situé un bâtiment porté sous article 3928,2
pré (chemin),2
kiosque,2
chambre dessus,2
loge,2
1/2 indéterminé d'une place indivise de 0.18m en totalité,2
1736,2
1/3 indéterminé d'une place soit chemin indivis de 1a.65 en totalité,2
les autres parts sont portées sous art. 2984,2
place sur laquelle est construit un bâtiment porté sous art.,2
halle aux marchandises,2
marquises,2
place sur laquelle est construit un bâtiment porté sous art. 3545,2
3924,2
les autres parts sont portées sous art. 3743,2
hangar construit par lavanchy,2
atelier (terrasse dessus),2
clinique,2
abattoir des porcs,2
escaliers couverts,2
les autres parts sont sous art. 683,2
2816,2
maison d'école,2
3624,2
1/3 indéterminé d'une place soit chemin indivis de 0a.57c en totalité; les autres parts sont portées sous art. 3553,2
poids,2
rotonde,2
couvert soit passage,2
1/2 indéterminée d'une place soit chemin indivis du 2a.16 en totalité,2
pré soit terrasse,2
1/6 indéterminé d'une place indivise de 3a.66 en totalité,2
1230,2
les autres parts sont portées sous article 157,2
(parc) pré,2
2229,2
2236,2
place (jetée),2
1/2 indéterminée d'une place indivise de 0a.06c en totalité,2
les autres parts sont portées sous art. 2935,2
2921,2
l'appartement du 1er étage,2
les autres parts sont portées sous art. 2919,2
fruitier,2
place sur laquelle est construit un bâtiment porté sous art. 1524,2
place sur laquelle est construit un bâtiment porté sous art. 2939,2
1/2 indéterminée d'une place indivise de 0a.12 en totalité,2
2915,2
portion de bâtiment de 1a.16 en totalité,2
corridor indivis,2
1/2 indéterminée d'une place indivise de 0a.22 en totalité,2
2758,2
remises,2
bois (bosquet),2
636,2
les autres parts sont portées sous art. 889,2
abri pour les bagages,2
1/2 indéterminé d'une place soit chemin indivis de 1a.40c en totalité,2
1/4 indéterminé d'une place soit chemin indivis de 2a.56 en totalité,2
3578,2
les autres parts sont portées sous art. 1521,2
1/24 indéterminé d'une place,2
lapinière,2
1/2 indéterminé d'une place indivise de 0a.30c en totalité,2
chambre à lait,2
1/2 indéterminé d'un cabinet de vigne indivis de 0a.10c en totalité,2
l'autre part est portée sous art. 599,2
l'autre part est portée sous art. 2961,2
1/2 indéterminé d'une place indivise de 0a.16c en totalité,2
abri,2
morgue,2
place (voie ferrée),2
place soit chemin,2
2383,2
place sur laquelle est construit un bâtiment porté sous art. 2072,2
place sur laquelle est construit un bâtiment porté sous art. 2074,2
1/2 indéterminée d'une place soit chemin indivis de 1a.82c en totalité,2
vide panse,2
petites loges,2
creux à fumier,2
1/2 indéterminée d'une place indivise de 1a.72 en totalité,2
1/2 indéterminée d'une place indivise de 8 mètres en totalité,2
l'autre part est sous art. 1222,2
l'autre part est sous art. 3857,2
1/2 indéterminée d'un cabinet de vigne de 12 mètres en totalité,2
butte,2
1/2 indéterminée d'un couvert de fontaine de 0a.14 en totalité,2
champ (pépinière),2
1/2 indéterminée d'une place indivise de 2a.10 en totalité,2
1/2 de bâtiment de 4a.30c en totalité ayant logement,2
1/2 d'un bâtiment ayant remise de 0a.82,2
1/2 indéterminée d'une place indivise de 5a.40c en totalité,2
1495,2
1/4 d'un bâtiment ayant four de 0a.48c en totalité,2
1026,2
3492,2
1/4 indéterminé d'une place soit chemin indivis de 11a.00 en totalité,2
les autres parts sont portées sous art. 1028,2
les autres parts sont portées sous art. 1027,2
les autres parts sont sous art. 181,2
1/2 indéterminée d'un couvert indivis de 0a.10c en totalité,2
les autres parts sont portées sous articles 181,2
grandes loges,2
1/2 indéterminée d'une place indivise de 0a.62 en totalité,2
1/2 indéterminée d'une place indivise de 0a.18 en totalité,2
3405,2
les autres parts sont portées sous article 3409,2
1/2 indéterminée d'une place indivise de 0a.66c en totalité,2
1/2 indéterminée d'un étang soit place indivise de 0a.72c en totalité,2
1/2 indéterminée d'une place soit chemin indivis de 3a.78c en totalité,2
les autres parts sont portées sous art. 369,2
838,2
portion indéterminée d'un four de 0a.14c en totalité,2
1/3 indéterminé d'un four de 0a.18c en totalité,2
1/4 indéterminé d'un four de 0a.16 en totalité,2
2857,2
les autres parts sont sous art. 2828,2
soliveau,2
3189,2
les autres parts sont portées sous art. 316,2
3126,2
1/3 indéterminé d'une place indivise de 5a-19 en totalité; les autres parts sont portées sous art. 3173,2
fromagerie,2
1/2 d'une grange de 0a.18 en totalité,2
auberge,2
les autres parts sont portées sous art. 3284,2
